"bio_year","latitude_rounded","longitude_rounded","slf_present","slf_established","DistToIntro","theta","sectors","rotation_nb","sectors_nb"
2019,40.12613,-77.18824,TRUE,TRUE,132.622844402907,0.188820095948467,20,2,1
2020,39.61261,-77.72941,TRUE,TRUE,196.707483944368,0.372507800680573,20,2,1
2014,40.3964,-75.70588,TRUE,TRUE,3.33125998811876,0.552750392321657,20,2,2
2015,40.37838,-75.71765,TRUE,TRUE,5.44567318309708,0.716667387737362,20,2,2
2016,40.28829,-75.89412,TRUE,TRUE,23.3273476553512,0.525780776562685,20,2,2
2017,40.03604,-76.23529,TRUE,TRUE,63.5941456270674,0.595261780865124,20,2,2
2018,40.03604,-76.42353,TRUE,TRUE,76.3412720088185,0.469091204661738,20,2,2
2019,40,-76.54118,TRUE,TRUE,86.9448482805114,0.44717899199723,20,2,2
2020,39.72072,-76.47059,TRUE,TRUE,102.709896837101,0.717886455739486,20,2,2
2014,40.3964,-75.69412,TRUE,TRUE,2.6302061180081,0.786993058377008,20,2,3
2015,40.36937,-75.70588,TRUE,TRUE,5.71551767888759,0.983397679085234,20,2,3
2016,40.24324,-75.78824,TRUE,TRUE,21.3735312337106,0.989938384635982,20,2,3
2017,40.11712,-75.94118,TRUE,TRUE,40.0892834574335,0.84257388014724,20,2,3
2018,39.72072,-76.16471,TRUE,TRUE,87.691412670813,0.956978997343589,20,2,3
2019,39.59459,-76.34118,TRUE,TRUE,107.40217805009,0.889168736262233,20,2,3
2020,39.59459,-76.34118,TRUE,TRUE,107.40217805009,0.889168736262233,20,2,3
2014,40.3964,-75.68235,TRUE,TRUE,2.17502109758847,1.21458751409317,20,2,4
2015,40.35135,-75.70588,TRUE,TRUE,7.55358861841753,1.12489571744699,20,2,4
2016,40.1982,-75.72941,TRUE,TRUE,24.5346562798162,1.32664175291689,20,2,4
2017,40.04505,-75.8,TRUE,TRUE,42.4526059140333,1.24597752753147,20,2,4
2018,39.71171,-76.01176,TRUE,TRUE,83.222724398205,1.12474962561228,20,2,4
2019,39.45946,-75.90588,TRUE,TRUE,107.937254581861,1.334111212996,20,2,4
2020,39.45946,-75.90588,TRUE,TRUE,107.937254581861,1.334111212996,20,2,4
2015,40.32432,-75.67059,TRUE,TRUE,10.1039726727823,1.62299260376029,20,2,5
2016,40.21622,-75.70588,TRUE,TRUE,22.2512598060387,1.41853214530287,20,2,5
2017,40.0991,-75.69412,TRUE,TRUE,35.1403901152825,1.51146199358592,20,2,5
